OBJECTID,LABEL,LABEL_NEW,LABEL_FNL,COMP_A,RELATIONAB,COMP_B,RELATIONBC,COMP_C,RELATIONCD,COMP_D,PROCESS,COMMENTS,PARTCOV_A,BEDROCK_A,TEXTURE1_A,TEXTURE2_A,TEXTURE3_A,MATERIAL_A,QUALIFIERA,SUBTYPE_A,AGE_A,EXPRSN1_A,EXPRSN2_A,EXPRSN3_A,PARTCOV_B,BEDROCK_B,TEXTURE1_B,TEXTURE2_B,TEXTURE3_B,MATERIAL_B,QUALIFIERB,SUBTYPE_B,AGE_B,EXPRSN1_B,EXPRSN2_B,EXPRSN3_B,PARTCOV_C,BEDROCK_C,TEXTURE1_C,TEXTURE2_C,TEXTURE3_C,MATERIAL_C,QUALIFIERC,SUBTYPE_C,AGE_C,EXPRSN1_C,EXPRSN2_C,EXPRSN3_C,PARTCOV_D,BEDROCK_D,TEXTURE1_D,TEXTURE2_D,TEXTURE3_D,MATERIAL_D,QUALIFIERD,SUBTYPE_D,AGE_D,EXPRSN1_D,EXPRSN2_D,EXPRSN3_D,PROCESS_A,PRO_QUAL_A,PROCLASS1A,PROCLASS2A,PROCESS_B,PRO_QUAL_B,PROCLASS1B,PROCLASS2B,PROCESS_C,PRO_QUAL_C,PROCLASS1C,PROCLASS2C,CHECK_FIX,RANDOM_NO,ORIGNL_MAP,LABEL_TST,SHAPE_Length,SHAPE_Area
79,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,4047.739097882062651,950908.393207419780083
80,Mb,Mb,zsdMbM,zsdMbM,,,,,,,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,10840.778845149867266,1631371.024025153601542
81,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,7855.690881750948392,2221432.638751186430454
82,Mv/Cb-s,Mv/Cb-S,zsbMvM/dsmCb-S,zsbMvM,/,dsmCb,,,,,S,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,14732.982438747434571,6303180.374561276286840
83,Mv,Mv,zsbMvM,zsbMvM,,,,,,,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,13152.484722002323906,7795177.302026464603841
84,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,4061.559886586563152,769783.609682136564516
85,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,22886.107158537062787,10099748.920852893963456
86,Mb,Mb,zsdMbM,zsdMbM,,,,,,,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,11105.223045091732274,3353875.452621066011488
87,Gp,Gp,gszFGpdM-E,gszFGpdM,,,,,,,E,,,,g,s,z,F,G,,M,p,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,8005.376599543643351,1927021.602457954548299
88,Cb/Mv,Cb/Mv,dsmCb/zsbMvM,dsmCb,/,zsbMvM,,,,,,,,,d,s,m,C,,,,b,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,34781.699072709379834,23871110.862829923629761
89,Lp/Ev,Lp/Ev,czsLGpM/sEvr,czsLGpM,/,sEvr,,,,,,,,,c,z,s,L,G,,M,p,,,,,s,,,E,,,,v,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,29972.410927122851717,13759804.688590714707971
90,Mb-c,Mb-C,zsdMbM-E,zsdMbM,,,,,,,E,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,23991.133577916913055,10448541.878901526331902
91,Cb-g,Cb-G,dsmCb-V,dsmCb,,,,,,,V,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,36430.843955694530450,7893731.954775474965572
92,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,10432.909938100074214,3592707.848578783217818
93,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,40486.589221851732873,31107831.061220966279507
94,Mb-c,Mb-C,zsdMbM-E,zsdMbM,,,,,,,E,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,15996.700373170458988,7688929.692256708629429
95,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,29263.863908701659966,19439473.763668958097696
96,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,10533.714733556284045,4884546.557403520680964
97,Ap,Ap,gszFp-U,gszFp,,,,,,,U,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,11354.868043848548041,5542523.974786351434886
98,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,11199.235189432232801,2678792.188516826368868
99,Gx,Gx,gszFGhprM-T,gszFGhprM,,,,,,,T,,,,g,s,z,F,G,,M,h,p,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,8479.867643410203527,2571901.213192965835333
100,Gp-c/Ap,Gp/Ap-C,gszFGpdM/gszFp-EU,gszFGpdM,/,gszFp,,,,,EU,,,,g,s,z,F,G,,M,p,d,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,U,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,32148.963296833935601,19576968.809987138956785
101,Af,Af,gszFf,gszFf,,,,,,,,,,,g,s,z,F,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,5072.331641764920278,1745712.542749411426485
102,Mv/Cb-s,Mv/Cb-S,zsbMvM/dsmCb-S,zsbMvM,/,dsmCb,,,,,S,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,18523.805560224936926,10420301.810253566130996
103,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,17681.687019780056289,8445649.956218453124166
104,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,42389.831664095792803,55429052.894908897578716
105,Af,Af,gszFf,gszFf,,,,,,,,,,,g,s,z,F,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,4957.983485566004674,1052687.260074864141643
106,Mb-c,Mb-C,zsdMbM-E,zsdMbM,,,,,,,E,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,17864.542514337772445,12344869.560164086520672
107,Cb/Mb,Cb/Mb,dsmCb/zsdMbM,dsmCb,/,zsdMbM,,,,,,,,,d,s,m,C,,,,b,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,70094.216817642081878,33814950.942784249782562
108,O/Lp,O/Lp,eOp/czsLGpM,eOp,/,czsLGpM,,,,,,,,,e,,,O,,,,p,,,,,c,z,s,L,G,,M,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DONE: label as O/Lp,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,29026.787758277834655,17308154.915743190795183
109,Lp/Mb,Lp/Mb,czsLGpM/zsdMbM,czsLGpM,/,zsdMbM,,,,,,,,,c,z,s,L,G,,M,p,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,25202.988100963506440,18985462.145786099135876
110,Ap/At,Apt,gszFpt-U,gszFpt,,,,,,,U,,,,g,s,z,F,,,,p,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,45319.661173145323119,18968158.371046148240566
111,Mb-c,Mb-C,zsdMbM-E,zsdMbM,,,,,,,E,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,39167.629682379876613,20365739.416176233440638
112,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,6485.476737930512172,2560012.274667438585311
113,Mv/Cb,Mv/Cb,zsbMvM/dsmCb,zsbMvM,/,dsmCb,,,,,,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,47456.779711998882703,24709095.394293669611216
114,Af,Af,gszFf,gszFf,,,,,,,,,,,g,s,z,F,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,6317.844367494540165,2065782.343333181925118
115,Mb/Cb,Mb/Cb,zsdMbM/dsmCb,zsdMbM,/,dsmCb,,,,,,,,,z,s,d,M,,,M,b,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,101223.274807108246023,58104445.712539277970791
116,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,13181.325519113615883,6538823.524806423112750
117,R/Cb-s,RCb-S,R/dsmCbv-S,R,/,dsmCbv,,,,,S,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,27207.224169540579169,21643551.921276342123747
118,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,55287.190856411252753,25635148.024618741124868
119,Mb-c,Mb-C,zsdMbM-E,zsdMbM,,,,,,,E,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,32194.494196512874623,18348797.778709970414639
120,Cb,Cb,dsmCb,dsmCb,,,,,,,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,7186.290236759277832,2735196.234704660251737
121,Cb/Mv,Cb/Mv,dsmCb/zsbMvM,dsmCb,/,zsbMvM,,,,,,,,,d,s,m,C,,,,b,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,16004.495530386990140,5363389.943851929157972
122,Lp/Gx,Lp/Gx,czsLGpM/gszFGhprM-T,czsLGpM,/,gszFGhprM,,,,,T,,,,c,z,s,L,G,,M,p,,,,,g,s,z,F,G,,M,h,p,r,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,16125.977383575467684,8315389.362882258370519
123,Mv/R,Mv/R,zsbMvM/R/rCv,zsbMvM,/,R,/,rCv,,,,,,,z,s,b,M,,,M,v,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,5438.156599686652044,1881581.471238073427230
124,Mv,Mv,zsbMvM,zsbMvM,,,,,,,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,11369.751380368539685,7118613.211081511341035
125,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,21617.203236448731332,7941005.252927422523499
126,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,43827.819028009624162,31323004.649483092129230
127,Mv/Cb,Mv/Cb,zsbMvM/dsmCb,zsbMvM,/,dsmCb,,,,,,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,16218.151436261026902,3713288.196073218714446
128,Gr-k/Mb,Gr/Mb-Xt,sgFGrM/zsdMbM-XtTH,sgFGrM,/,zsdMbM,,,,,XtTH,,,,s,g,,F,G,,M,r,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,t,,T,,,,H,,,,DONE: relabel as Gr/Mb-Xt,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,26828.611442718807666,24370707.909632124006748
129,Lp,Lp,czsLGpM,czsLGpM,,,,,,,,,,,c,z,s,L,G,,M,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,11519.156328385304732,4785710.562212795019150
130,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,8605.613907525326795,4778918.379888293333352
131,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,11799.629576074876240,3934269.063511756248772
132,Cb/Mv,Cb/Mv,dsmCb/zsbMvM,dsmCb,/,zsbMvM,,,,,,,,,d,s,m,C,,,,b,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,11451.819515408447842,3452950.016663187183440
133,Mv-c/Cb-s,Mv/Cb-CS,zsbMvM/dsmCb-ES,zsbMvM,/,dsmCb,,,,,ES,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,S,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,22372.698015905578359,8228803.824530019424856
134,Mv/R,Mv/R,zsbMvM/R/rCv,zsbMvM,/,R,/,rCv,,,,,,,z,s,b,M,,,M,v,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,11868.737375875893122,3876435.181474778335541
135,Cb/Mv,Cb/Mv,dsmCb/zsbMvM,dsmCb,/,zsbMvM,,,,,,,,,d,s,m,C,,,,b,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,15289.647622682072324,7546253.922083641402423
136,Mb/Cb,Mb/Cb,zsdMbM/dsmCb,zsdMbM,/,dsmCb,,,,,,,,,z,s,d,M,,,M,b,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,18955.918074909423012,10412381.382302699610591
137,Ap,Ap,gszFp-U,gszFp,,,,,,,U,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,13782.163555500999792,3453067.409939910285175
138,Cb/Mv,Cb/Mv,dsmCb/zsbMvM,dsmCb,/,zsbMvM,,,,,,,,,d,s,m,C,,,,b,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,9587.120701626772643,1894472.208867823472247
139,Lp/Gh,Lp/Gh/Eb,czsLGpM/zsgFGhdM/sEbr-TH,czsLGpM,/,zsgFGhdM,/,sEbr,,,TH,,,,c,z,s,L,G,,M,p,,,,,z,s,g,F,G,,M,h,d,,,,s,,,E,,,,b,r,,,,,,,,,,,,,,T,,,,H,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,39594.657636171621562,46386097.080100685358047
140,Lp-k,Lp//Eb-Xt,czsLGpM//sEbr-Xt,czsLGpM,//,sEbr,,,,,Xt,,,,c,z,s,L,G,,M,p,,,,,s,,,E,,,,b,r,,,,,,,,,,,,,,,,,,,,,,,,,,X,,t,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,16001.584342643625860,4568294.980083000846207
141,Gx,Gx,gszFGhprM-T,gszFGhprM,,,,,,,T,,,,g,s,z,F,G,,M,h,p,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,8673.017470043039793,1838756.447972452268004
142,Ap,Ap,gszFp-U,gszFp,,,,,,,U,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,119210.764958825209760,44655954.884323135018349
143,Lp-c,Lp-C,czsLGpM-E,czsLGpM,,,,,,,E,,,,c,z,s,L,G,,M,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,28691.352828125502128,14728809.938061943277717
144,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,10083.954615374945206,6678646.676336245611310
145,Cb/Mv,Cb/Mv,dsmCb/zsbMvM,dsmCb,/,zsbMvM,,,,,,,,,d,s,m,C,,,,b,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,7148.491420268845104,2364999.567028178833425
146,Mv/R,Mv/R,zsbMvM/R/rCv,zsbMvM,/,R,/,rCv,,,,,,,z,s,b,M,,,M,v,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,11135.306019802972514,3346966.717757153790444
147,Cb/Mv,Cb/Mv,dsmCb/zsbMvM,dsmCb,/,zsbMvM,,,,,,,,,d,s,m,C,,,,b,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,5381.893600885179694,867958.317230574204586
148,Af/Ap,Afp,gszFfp-U,gszFfp,,,,,,,U,,,,g,s,z,F,,,,f,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,11167.778154668993011,4701200.621461786329746
149,Lp-k,Lp-Xt,czsLGpM-Xt,czsLGpM,,,,,,,Xt,,,,c,z,s,L,G,,M,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,t,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,7068.040451596180901,1483585.089587638387457
150,Gp/Cb,Gp/Cb,gszFGpdM/dsmCb-E,gszFGpdM,/,dsmCb,,,,,E,,,,g,s,z,F,G,,M,p,d,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,9691.401078198990945,2902749.014785224571824
151,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,26220.255693241411791,14067911.280676895752549
152,Lp,Lp,czsLGpM,czsLGpM,,,,,,,,,,,c,z,s,L,G,,M,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,17237.074209886915924,7256486.909513725899160
153,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,77769.227866519111558,57731530.792071282863617
154,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,3322.444316539481861,780917.270598529721610
155,Gp-c,Gp-C,gszFGpdM-E,gszFGpdM,,,,,,,E,,,,g,s,z,F,G,,M,p,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison  & Klassen, 1991, Whitehorse, GSC Map 12-1990",,16291.058737311455843,10070886.675192434340715
